Apr 16 19:46:51.876 [INFO] zmap: output module: csv
Starting module. Packet out size: 66
Apr 16 19:46:51.883 [INFO] recv: Data link layer Ethernet
 1:50 3% (1h05m left); send: 2748840 21.2 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:51 3% (1h05m left); send: 2770597 21.8 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:52 3% (1h05m left); send: 2792382 21.8 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:53 3% (1h05m left); send: 2818308 25.9 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:54 3% (1h05m left); send: 2844717 26.4 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:55 3% (1h04m left); send: 2873136 28.4 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:56 3% (1h04m left); send: 2898014 24.9 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:57 3% (1h05m left); send: 2919778 21.8 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:58 3% (1h05m left); send: 2941728 21.9 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:59 3% (1h05m left); send: 2963658 21.9 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:00 3% (1h05m left); send: 2984386 20.7 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:01 3% (1h05m left); send: 3008399 24.0 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:02 3% (1h05m left); send: 3034534 26.1 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:03 3% (1h05m left); send: 3061883 27.3 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:04 3% (1h05m left); send: 3085071 23.2 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:05 3% (1h05m left); send: 3106127 21.1 Kp/s (24.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:06 3% (1h05m left); send: 3127182 21.1 Kp/s (24.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:07 3% (1h05m left); send: 3148079 20.9 Kp/s (24.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:08 3% (1h05m left); send: 3172622 24.5 Kp/s (24.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:09 3% (1h05m left); send: 3196707 24.1 Kp/s (24.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:10 3% (1h05m left); send: 3222060 25.3 Kp/s (24.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:11 3% (1h05m left); send: 3240141 18.1 Kp/s (24.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:12 3% (1h05m left); send: 3259854 19.7 Kp/s (24.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:13 3% (1h05m left); send: 3280462 20.6 Kp/s (24.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:14 3% (1h05m left); send: 3300490 20.0 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:15 3% (1h05m left); send: 3322574 22.1 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:16 3% (1h05m left); send: 3343580 21.0 Kp/s (24.6 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:17 3% (1h05m left); send: 3363554 20.0 Kp/s (24.5 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:18 3% (1h05m left); send: 3383519 20.0 Kp/s (24.5 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:19 3% (1h05m left); send: 3404978 21.5 Kp/s (24.5 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:20 3% (1h05m left); send: 3427059 22.1 Kp/s (24.5 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:21 3% (1h05m left); send: 3446733 19.7 Kp/s (24.4 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:22 3% (1h06m left); send: 3466679 19.9 Kp/s (24.4 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:23 3% (1h06m left); send: 3488397 21.7 Kp/s (24.4 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:24 4% (1h06m left); send: 3507787 19.4 Kp/s (24.4 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:25 4% (1h06m left); send: 3528790 21.0 Kp/s (24.3 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:26 4% (1h06m left); send: 3549341 20.5 Kp/s (24.3 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 2:27 4% (1h06m left); send: 3568840 19.5 Kp/s (24.3 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
