Apr 15 04:27:05.167 [INFO] zmap: output module: csv
Starting module. Packet out size: 81
Apr 15 04:27:05.174 [INFO] recv: Data link layer Ethernet
 1:19 2% (1h05m left); send: 1983218 20.3 Kp/s (25.1 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:20 2% (1h05m left); send: 2004400 21.2 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:21 2% (1h05m left); send: 2025308 20.9 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:22 2% (1h05m left); send: 2047728 22.4 Kp/s (25.0 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:23 2% (1h05m left); send: 2069532 21.8 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:24 2% (1h05m left); send: 2091399 21.9 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:25 2% (1h05m left); send: 2114997 23.6 Kp/s (24.9 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:26 2% (1h05m left); send: 2137138 22.1 Kp/s (24.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:27 2% (1h05m left); send: 2161180 24.0 Kp/s (24.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:28 2% (1h05m left); send: 2183229 22.0 Kp/s (24.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:29 2% (1h05m left); send: 2207171 23.9 Kp/s (24.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:30 2% (1h05m left); send: 2230217 23.0 Kp/s (24.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:31 2% (1h05m left); send: 2253298 23.1 Kp/s (24.8 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 1:32 2% (1h06m left); send: 2275478 22.2 Kp/s (24.7 Kp/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
