Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,[TCP:dataofs:9]-duplicate-|,1,[-10]
-10.0,"[TCP:options-wscale:120]-fragment{tcp:-1:True}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1053912029]-tamper{TCP:options-eol:corrupt}(tamper{TCP:flags:corrupt}(tamper{TCP:reserved:replace:3},),)-|",1,[-10]
-10.0,[TCP:chksum:10774:4]-duplicate-|,1,[-10]
-10.0,[TCP:window:60]-tamper{TCP:options-md5header:corrupt}-|,1,[-10]
-10.0,[TCP:options-wscale:198]-drop-|,1,[-10]
-10.0,"[TCP:dataofs:3]-fragment{tcp:-1:True}(duplicate(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,[TCP:sport:29331]-duplicate-|,1,[-10]
-10.0,[TCP:sport:45748]-duplicate-|,1,[-10]
-10.0,[TCP:dataofs:4]-duplicate-|,1,[-10]
-10.0,[TCP:dport:44466]-tamper{TCP:urgptr:corrupt}-|,1,[-10]
-10.0,[TCP:dataofs:13:4]-tamper{TCP:dport:corrupt}-|,1,[-10]
-10.0,[TCP:reserved:2:4]-tamper{TCP:options-eol:replace:}-|,1,[-10]
-10.0,[TCP:dataofs:13]-tamper{TCP:dataofs:corrupt}-|,1,[-10]
-10.0,[TCP:options-md5header:c1d244fd2b98e1df05cbc01198b0c9f9:3]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,[TCP:load:00vdy7z8tt:0]-duplicate-|,1,[-10]
-10.0,[TCP:dport:21869]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:load:__DNS_REQUEST__]-duplicate-|,1,[-10]
-10.0,[TCP:options-altchksum:103]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:reserved:2]-duplicate-|,1,[-10]
-10.0,[TCP:seq:3173221735]-tamper{TCP:reserved:corrupt}-|,1,[-10]
-10.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-eol:replace:}(tamper{TCP:options-eol:corrupt},)-|[TCP:options-sackok::0]-duplicate-|",1,[-10]
-10.0,[TCP:options-mss:11418]-tamper{TCP:urgptr:corrupt}-|,1,[-10]
-10.0,[TCP:ack:2859737918]-tamper{TCP:urgptr:replace:15476}-|,1,[-10]
-10.0,[TCP:options-altchksum:73]-tamper{TCP:seq:replace:2324945741}-|,1,[-10]
-10.0,[TCP:chksum:16750]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:ack:846790435]-drop-|,1,[-10]
-10.0,[TCP:reserved:5]-duplicate-|,1,[-10]
-10.0,"[TCP:options-eol:]-fragment{tcp:-1:True}(,fragment{ip:-1:False})-|[TCP:window:190]-tamper{TCP:options-wscale:replace:8}-|",1,[-10]
-10.0,[TCP:chksum:50932]-duplicate-|,1,[-10]
-10.0,[TCP:window:130]-tamper{TCP:options-md5header:replace:f168cb082fe5f906d2fe5f71e4eab4b5}-|,1,[-10]
-10.0,[TCP:flags:RA]-tamper{TCP:sport:corrupt}-|,1,[-10]
-10.0,[TCP:options-timestamp:2006115331]-tamper{TCP:seq:replace:1188049073}-|,1,[-10]
-10.0,[TCP:options-md5header:9e8a98e46dd3315d8d221393e28f11f7]-duplicate-|,1,[-10]
-10.0,[TCP:dataofs:1:3]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-10]
-10.0,[TCP:ack:2859737918]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:load:utkg0v2xaa:1]-duplicate-|,1,[-10]
-10.0,[TCP:chksum:45581]-tamper{TCP:chksum:corrupt}-|,1,[-10]
-10.0,[TCP:options-timestamp:627851175]-tamper{TCP:window:replace:100}-|,1,[-10]
-10.0,[TCP:chksum:50174]-duplicate-|,1,[-10]
-10.0,[TCP:reserved:2]-tamper{TCP:seq:replace:2971817178}-|,1,[-10]
-10.0,[TCP:options-altchksum:208]-drop-|,1,[-10]
-10.0,[TCP:options-wscale:224:0]-tamper{TCP:options-timestamp:replace:2508080714}-|,1,[-10]
-10.0,"[TCP:options-mss:57665]-duplicate(,tamper{TCP:options-altchksumopt:replace:})-|[TCP:options-nop:]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,[TCP:chksum:45512:0]-tamper{TCP:options-mss:replace:6652}-|,1,[-10]
-10.0,[TCP:options-mss:59252:0]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,[TCP:options-altchksum:90:4]-drop-|,1,[-10]
-10.0,[TCP:options-wscale:224]-duplicate-|,1,[-10]
-10.0,[TCP:urgptr:64901:1]-duplicate-|,1,[-10]
