Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,[TCP:window:30]-tamper{TCP:chksum:replace:42359}-|,1,[-10]
-10.0,"[TCP:options-sack::0]-tamper{TCP:window:replace:110}(duplicate(tamper{TCP:ack:replace:79261089},),)-|[TCP:flags:FSPECN]-drop-|",1,[-10]
-10.0,[TCP:options-uto:40]-duplicate-|,1,[-10]
-10.0,[TCP:options-uto:144]-drop-|,1,[-10]
-10.0,[TCP:options-uto:104]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,"[TCP:options-sackok::0]-tamper{TCP:seq:corrupt}(fragment{tcp:-1:False}(duplicate,),)-|[TCP:urgptr:59859:3]-tamper{TCP:options-altchksum:replace:169}-|",1,[-10]
-10.0,[TCP:options-altchksum:68]-tamper{TCP:options-nop:corrupt}-|,1,[-10]
-10.0,[TCP:reserved:1]-tamper{TCP:reserved:corrupt}-|,1,[-10]
-10.0,[TCP:urgptr:53264]-tamper{TCP:options-wscale:corrupt}-|,1,[-10]
-10.0,[TCP:window:150]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:dataofs:6]-duplicate-|,1,[-10]
-10.0,[TCP:seq:1812721640]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:ack:3094492883]-duplicate-|,1,[-10]
-10.0,[TCP:seq:3927549639:4]-tamper{TCP:options-sack:replace:}-|,1,[-10]
-10.0,[TCP:options-wscale:250]-duplicate-|,1,[-10]
-10.0,[TCP:reserved:2]-duplicate-|,1,[-10]
-10.0,[TCP:options-md5header:60a47f04ff4b45a88194911cda24f964]-duplicate-|,1,[-10]
-10.0,[TCP:options-timestamp:4260950954]-duplicate-|,1,[-10]
-10.0,"[TCP:options-eol:]-duplicate(fragment{tcp:-1:True},tamper{TCP:options-eol:replace:})-|[TCP:sport:23866]-tamper{TCP:sport:replace:14334}-|",1,[-10]
-10.0,[TCP:options-wscale:197]-duplicate-|,1,[-10]
-10.0,[TCP:options-wscale:55]-duplicate-|,1,[-10]
-10.0,[TCP:sport:60325]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:window:20:2]-duplicate(,duplicate(,tamper{TCP:options-altchksumopt:corrupt}(fragment{tcp:-1:True},)))-|",1,[-10]
-10.0,[TCP:urgptr:6703]-tamper{TCP:dport:corrupt}-|,1,[-10]
-10.0,[TCP:urgptr:31274]-drop-|,1,[-10]
-10.0,[TCP:window:60]-duplicate-|,1,[-10]
-10.0,[TCP:options-altchksum:137:4]-tamper{TCP:options-nop:corrupt}-|,1,[-10]
-10.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-mss:corrupt}(fragment{tcp:-1:False}(tamper{TCP:options-altchksum:corrupt},),)-|[TCP:ack:1988451360]-fragment{tcp:-1:True}-|",1,[-10]
