Strategy DNA,Total Amplifcation,Num Times Generated,Average Amplification
[TCP:options-eol:]-fragment{ip:-1:False:5}-|,3.102,4,0.7755
[TCP:options-nop:]-tamper{TCP:options-md5header:corrupt}-|,2.216,4,0.554
[TCP:options-sack:]-tamper{TCP:load:corrupt}-|,8.573,4,2.14325
[TCP:load:__HTTP_REQUEST__]-drop-|,-36.987,4,-9.24675
[TCP:options-sackok:]-tamper{TCP:load:corrupt}-|,4.204000000000001,4,1.0510000000000002
[TCP:reserved:3]-duplicate-|,-46.967,4,-11.74175
[TCP:options-sackok:]-tamper{TCP:load:replace:}-|,38.7,4,9.675
[TCP:dataofs:10]-duplicate-|,-36.974000000000004,4,-9.243500000000001
[TCP:options-sack:]-tamper{TCP:options-eol:corrupt}-|,2.1929999999999996,4,0.5482499999999999
"[TCP:options-nop:]-duplicate(fragment{tcp:-1:True},)-|",4.333,4,1.08325
"[TCP:options-sackok:]-fragment{tcp:-1:False}(,fragment{tcp:-1:False})-|",5.728000000000001,4,1.4320000000000002
[TCP:options-eol::0]-drop-|,2.33,4,0.5825
[TCP:load:__HTTP_REQUEST__]-fragment{tcp:-1:False}-|,-46.587,4,-11.64675
"[TCP:load:]-duplicate(,duplicate)-|",3.508,4,0.877
"[TCP:options-sackok:]-fragment{tcp:-1:False}(drop,drop)-|",-13000.0,4,-3250.0
[TCP:reserved:1]-duplicate-|,-28.677,3,-9.559
[TCP:window:190]-duplicate-|,-28.313,3,-9.437666666666667
[TCP:window:10]-duplicate-|,-28.314,3,-9.438
[TCP:options-eol:]-tamper{TCP:options-eol:corrupt}-|,1.274,3,0.4246666666666667
"[TCP:options-sackok:]-duplicate(,fragment{tcp:-1:True}(,duplicate))-|",2.221,3,0.7403333333333334
"[TCP:reserved:0]-duplicate(duplicate,)-|",1.368,3,0.456
[TCP:flags:A:0]-duplicate-|,39.25599999999999,3,13.085333333333331
[TCP:options-altchksumopt::0]-tamper{TCP:chksum:corrupt}-|,0.481,3,0.16033333333333333
"[TCP:options-eol:]-tamper{TCP:options-altchksumopt:replace:}(duplicate,)-|",0.643,3,0.21433333333333335
"[TCP:options-eol:]-duplicate(fragment{tcp:-1:False},)-|",1.435,3,0.47833333333333333
[TCP:options-sack:]-tamper{TCP:seq:corrupt}-|,0.684,3,0.228
"[TCP:flags:A]-duplicate(fragment{tcp:-1:True},)-|",1.775,3,0.5916666666666667
[TCP:options-eol:]-tamper{TCP:options-altchksumopt:replace:}-|,2.245,3,0.7483333333333334
"[TCP:options-eol:]-duplicate(,drop)-|",0.621,3,0.207
"[TCP:options-altchksumopt:]-duplicate(,fragment{tcp:-1:True})-|",3.839,3,1.2796666666666667
[TCP:options-altchksumopt:]-tamper{TCP:window:replace:170}-|,1.3719999999999999,3,0.4573333333333333
"[TCP:options-altchksumopt:]-tamper{TCP:options-altchksumopt:replace:}(fragment{tcp:-1:True},)-|",2.098,3,0.6993333333333333
[TCP:options-altchksumopt:]-fragment{ip:-1:True}-|,0.841,3,0.2803333333333333
"[TCP:options-altchksumopt:]-tamper{TCP:load:replace:}(tamper{TCP:options-sack:replace:},)-|",2.454,3,0.8180000000000001
[TCP:options-nop:]-tamper{TCP:dataofs:corrupt}-|,1.3439999999999999,3,0.44799999999999995
[TCP:dataofs:9]-duplicate-|,-38.715999999999994,3,-12.905333333333331
"[TCP:options-altchksumopt:]-duplicate(tamper{TCP:options-sack:replace:},)-|",1.326,3,0.442
"[TCP:options-sack::0]-duplicate(duplicate,)-|",3.976,3,1.3253333333333333
[TCP:flags:A:0]-drop-|,30.813999999999997,3,10.271333333333333
[TCP:options-altchksumopt:]-tamper{TCP:options-md5header:corrupt}-|,1.2309999999999999,3,0.41033333333333327
[TCP:options-nop:]-tamper{TCP:options-altchksum:corrupt}-|,1.193,3,0.39766666666666667
[TCP:options-altchksumopt:]-tamper{TCP:options-uto:corrupt}-|,0.635,3,0.21166666666666667
[TCP:options-altchksumopt:]-tamper{TCP:window:corrupt}-|,0.692,3,0.23066666666666666
"[TCP:options-altchksumopt:]-fragment{tcp:-1:True}(,drop)-|",27.195000000000007,3,9.065000000000003
"[TCP:options-altchksumopt:]-tamper{TCP:flags:corrupt}(fragment{tcp:-1:False},)-|",1.1280000000000001,3,0.37600000000000006
[TCP:reserved:0]-duplicate-|,0.663,3,0.221
[TCP:options-altchksumopt:]-tamper{TCP:options-nop:corrupt}-|,1.256,3,0.4186666666666667
[TCP:options-altchksumopt:]-tamper{TCP:options-sackok:replace:}-|,3.099,3,1.0330000000000001
[TCP:options-altchksumopt:]-tamper{TCP:seq:corrupt}-|,1.38,3,0.45999999999999996
[TCP:options-altchksumopt:]-tamper{TCP:sport:corrupt}-|,0.0,3,0.0
"[TCP:options-altchksumopt:]-tamper{TCP:urgptr:corrupt}(duplicate,)-|",2.019,3,0.673
[TCP:options-altchksumopt:]-tamper{TCP:dataofs:replace:10}-|,3.198,3,1.066
[TCP:options-altchksumopt:]-tamper{TCP:load:corrupt}-|,7.194,3,2.398
