Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:options-eol:]-tamper{TCP:flags:corrupt}(duplicate(,fragment{tcp:-1:False}),)-|[TCP:sport:17303]-tamper{TCP:seq:corrupt}-|",1,[-10]
-10.0,[TCP:options-mss:54865]-duplicate-|,1,[-10]
-10.0,[TCP:dport:51552]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:ack:607105691]-duplicate-|,1,[-10]
-10.0,[TCP:options-md5header:c2d531ff079a806a8b388d1d123a4814]-duplicate-|,1,[-10]
-10.0,[TCP:options-timestamp:3932330309]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,[TCP:options-md5header:a798e878cb6d1bed620b74b21a770141]-duplicate-|,1,[-10]
-10.0,[TCP:ack:1658233486]-tamper{TCP:options-altchksum:replace:142}-|,1,[-10]
-10.0,[TCP:chksum:17185]-tamper{TCP:options-mss:corrupt}-|[TCP:options-altchksumopt:]-tamper{TCP:dataofs:replace:14}-|,1,[-10]
-10.0,[TCP:options-wscale:190]-tamper{TCP:options-sack:replace:}-|,1,[-10]
-10.0,[TCP:options-md5header:f0244caf8cf95dc9aba2740b5e12d610]-tamper{TCP:dataofs:replace:3}-|,1,[-10]
-10.0,"[TCP:options-nop:]-tamper{TCP:options-altchksumopt:corrupt}(duplicate(duplicate,),)-|[TCP:sport:35844]-duplicate-|",1,[-10]
-10.0,[TCP:dataofs:10]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-wscale:190]-drop-|,1,[-10]
-10.0,[TCP:options-mss:54865]-tamper{TCP:options-mss:replace:21076}-|,1,[-10]
-10.0,"[TCP:options-sackok::0]-tamper{TCP:seq:corrupt}(drop,)-|[TCP:options-nop:]-fragment{tcp:-1:True}-|[TCP:ack:2862470570]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,"[TCP:options-altchksumopt:]-fragment{ip:11:True:5}(tamper{TCP:sport:corrupt},)-|[TCP:window:50]-tamper{TCP:ack:corrupt}-|",1,[-10]
-10.0,[TCP:options-md5header:dbc0d515fa23fe551cf967e2b879c32c]-tamper{TCP:dataofs:corrupt}-|,1,[-10]
-10.0,[TCP:reserved:0]-tamper{TCP:reserved:corrupt}-|[TCP:options-altchksum:252:3]-duplicate-|,1,[-10]
-10.0,[TCP:options-eol:]-tamper{TCP:ack:corrupt}-|[TCP:chksum:63875]-tamper{TCP:chksum:corrupt}-|,1,[-10]
-10.0,"[TCP:urgptr:31708]-duplicate(tamper{TCP:options-mss:replace:9701}(tamper{TCP:window:replace:110},),)-|",1,[-10]
-10.0,[TCP:options-uto:114]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:sport:22857]-tamper{TCP:options-wscale:corrupt}-|,1,[-10]
-10.0,[TCP:window:40]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:options-sack:]-tamper{TCP:sport:corrupt}(tamper{TCP:options-eol:corrupt},)-|[TCP:urgptr:53838]-tamper{TCP:load:replace:__HTTP_REQUEST__}-|",1,[-10]
-10.0,[TCP:dport:51552]-tamper{TCP:urgptr:corrupt}-|,1,[-10]
-10.0,[TCP:options-md5header:c3e1d7be7b47a998ec25b4f4fce1cd1b]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,[TCP:dport:51552]-duplicate-|,1,[-10]
-10.0,[TCP:options-wscale:190]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-md5header:c8d9bdb884c5796040ee1404acaecb9b]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,[TCP:ack:2942262187]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:urgptr:16699]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
