Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,[TCP:load:]-drop-|,1,[-10]
-10.0,"[TCP:ack:2930337138]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,"[TCP:reserved:5:1]-fragment{tcp:-1:True}(,fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:options-wscale:120]-tamper{TCP:sport:corrupt}(tamper{TCP:reserved:replace:5}(tamper{TCP:dport:replace:47677},),)-|",1,[-10]
-10.0,[TCP:dataofs:4:1]-tamper{TCP:options-nop:replace:}-|,1,[-10]
-10.0,[TCP:dataofs:4]-duplicate-|,1,[-10]
-10.0,"[TCP:seq:813891059]-duplicate(fragment{tcp:-1:False},drop)-|",1,[-10]
-10.0,"[TCP:reserved:2]-tamper{TCP:ack:replace:2208299465}(duplicate(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,"[TCP:options-mss:62191]-duplicate(drop,)-|[TCP:options-sack:]-tamper{TCP:window:replace:130}-|",1,[-10]
-10.0,"[TCP:ack:1940061414]-tamper{TCP:seq:corrupt}(tamper{TCP:options-md5header:replace:5b24852b4abdaf3ca043de3e43bd9f26},)-|[TCP:options-sackok:]-duplicate-|",1,[-10]
-10.0,[TCP:dport:44409]-drop-|,1,[-10]
-10.0,"[TCP:sport:51881]-fragment{tcp:-1:True}(drop,)-|",1,[-10]
-10.0,"[TCP:options-sack:]-fragment{tcp:-1:False}(tamper{TCP:flags:corrupt},)-|[TCP:urgptr:31528]-drop-|",1,[-10]
-10.0,"[TCP:dport:53517:1]-tamper{TCP:load:corrupt}(duplicate(,duplicate),)-|",1,[-10]
-10.0,[TCP:reserved:2]-duplicate-|,1,[-10]
-10.0,[TCP:load:]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:seq:3019621723]-duplicate(,tamper{TCP:sport:replace:2807}(duplicate,))-|",1,[-10]
-10.0,"[TCP:window:60]-duplicate(tamper{TCP:sport:corrupt}(tamper{TCP:dport:replace:46705},),)-|",1,[-10]
-10.0,[TCP:options-wscale:163]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:sport:1623]-drop-|,1,[-10]
-10.0,[TCP:ack:2250598489:2]-tamper{TCP:options-md5header:corrupt}-|,1,[-10]
-10.0,"[TCP:options-mss:18349:2]-tamper{TCP:options-uto:replace:206}(duplicate,)-|",1,[-10]
-10.0,"[TCP:flags:FRUCN]-fragment{tcp:-1:False}(tamper{TCP:options-sack:corrupt},drop)-|",1,[-10]
-10.0,"[TCP:options-md5header:72e80dde372d39228771a824da4cd5ed]-fragment{tcp:13:True}(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-mss:13074]-fragment{tcp:-1:False}(fragment{tcp:-1:False},tamper{TCP:reserved:replace:5})-|",1,[-10]
-10.0,"[TCP:dataofs:11]-fragment{ip:-1:False:5}(drop,)-|",1,[-10]
-10.0,"[TCP:dataofs:15:0]-tamper{TCP:chksum:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-wscale:102]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:sport:5868]-fragment{tcp:20:False:35}(tamper{TCP:options-mss:corrupt},)-|",1,[-10]
-10.0,"[TCP:reserved:4]-tamper{TCP:options-altchksum:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:urgptr:24755]-fragment{tcp:34:False:17}(,fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:options-wscale:58]-fragment{tcp:-1:True}(duplicate,)-|",1,[-10]
-10.0,[TCP:sport:33102]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__:1]-tamper{TCP:options-altchksumopt:replace:}(duplicate,)-|",1,[-10]
-10.0,[TCP:chksum:950]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-eol::0]-tamper{TCP:options-uto:corrupt}(fragment{tcp:-1:True}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:seq:740556133]-tamper{TCP:options-altchksum:corrupt}(duplicate(,duplicate),)-|",1,[-10]
-10.0,"[TCP:seq:3702269201]-duplicate(,tamper{TCP:options-altchksumopt:corrupt})-|[TCP:flags:PA:3]-tamper{TCP:options-timestamp:replace:794549279}-|",1,[-10]
-10.0,"[TCP:sport:38661]-tamper{TCP:options-md5header:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:flags:FRAEC]-fragment{tcp:-1:False}(,fragment{tcp:-1:False}(,drop))-|",1,[-10]
-10.0,"[TCP:ack:1596829258:3]-tamper{TCP:options-eol:corrupt}(tamper{TCP:seq:replace:482569754}(drop,),)-|",1,[-10]
-10.0,[TCP:options-mss:35444]-tamper{TCP:options-timestamp:corrupt}-|,1,[-10]
-10.0,"[TCP:chksum:31902]-duplicate(,tamper{TCP:urgptr:replace:6427})-|",1,[-10]
-10.0,[TCP:flags:R]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,[TCP:dport:29700]-tamper{TCP:window:replace:110}-|,1,[-10]
-10.0,"[TCP:options-uto:138:3]-fragment{tcp:-1:False}(duplicate,drop)-|",1,[-10]
-10.0,[TCP:options-wscale:172]-tamper{TCP:options-nop:replace:}-|,1,[-10]
-10.0,"[TCP:options-timestamp:834514939]-tamper{TCP:chksum:replace:3342}(duplicate,)-|",1,[-10]
-10.0,"[TCP:ack:3001892487:0]-tamper{TCP:options-mss:corrupt}(tamper{TCP:options-sackok:replace:},)-|",1,[-10]
-10.0,"[TCP:dport:31699]-duplicate(,drop)-|",1,[-10]
-10.0,[TCP:options-uto:131:4]-drop-|,1,[-10]
-10.0,"[TCP:options-timestamp:3237088000]-tamper{TCP:chksum:replace:17607}(duplicate,)-|",1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-tamper{TCP:load:replace:}(tamper{TCP:options-timestamp:replace:424581517}(drop,),)-|",1,[-10]
-10.0,"[TCP:ack:4067153412]-duplicate(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:options-uto:225]-tamper{TCP:dataofs:corrupt}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:seq:2289914161]-fragment{tcp:-1:False}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:urgptr:500:4]-tamper{TCP:options-altchksumopt:corrupt}(fragment{ip:-1:True:5},)-|",1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-duplicate(,drop)-|",1,[-10]
-10.0,"[TCP:reserved:7]-tamper{TCP:options-timestamp:replace:2051196515}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-uto:222]-duplicate-|,1,[-10]
-10.0,"[TCP:options-altchksum:236]-tamper{TCP:options-eol:replace:}(duplicate(duplicate,),)-|",1,[-10]
-10.0,"[TCP:ack:3354519569]-tamper{TCP:ack:replace:2567121711}(duplicate,)-|",1,[-10]
-10.0,"[TCP:urgptr:52271:1]-tamper{TCP:urgptr:replace:49181}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-mss:5230]-duplicate(,fragment{tcp:-1:False})-|",1,[-10]
-10.0,[TCP:options-wscale:104:2]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:dataofs:15]-drop-|,1,[-10]
-10.0,[TCP:ack:2374375824:3]-duplicate-|,1,[-10]
-10.0,[TCP:seq:1041021422:4]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:urgptr:15557]-tamper{TCP:options-nop:corrupt}-|,1,[-10]
