Apr 16 23:51:37.459 [INFO] zmap: output module: csv
Starting module. Packet out size: 106
Apr 16 23:51:37.466 [INFO] recv: Data link layer Ethernet
 1:14 1% (2h06m left); send: 963830 13.7 Kp/s (13.0 Kp/s avg); recv: 873 1 p/s (11 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.09%
 1:15 1% (2h06m left); send: 978982 15.1 Kp/s (13.0 Kp/s avg); recv: 873 0 p/s (11 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.09%
 1:16 1% (2h06m left); send: 992554 13.6 Kp/s (13.1 Kp/s avg); recv: 873 0 p/s (11 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.09%
 1:17 1% (2h06m left); send: 1006288 13.7 Kp/s (13.1 Kp/s avg); recv: 873 0 p/s (11 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.09%
 1:18 1% (2h06m left); send: 1020252 14.0 Kp/s (13.1 Kp/s avg); recv: 873 0 p/s (11 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.09%
 1:19 1% (2h05m left); send: 1035765 15.5 Kp/s (13.1 Kp/s avg); recv: 873 0 p/s (11 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 1:20 1% (2h05m left); send: 1051322 15.6 Kp/s (13.1 Kp/s avg); recv: 873 0 p/s (10 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 1:21 1% (2h05m left); send: 1066454 15.1 Kp/s (13.2 Kp/s avg); recv: 875 1 p/s (10 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 1:22 1% (2h05m left); send: 1081466 15.0 Kp/s (13.2 Kp/s avg); recv: 876 0 p/s (10 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 1:23 1% (2h05m left); send: 1096148 14.7 Kp/s (13.2 Kp/s avg); recv: 876 0 p/s (10 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 1:24 1% (2h05m left); send: 1107034 10.9 Kp/s (13.2 Kp/s avg); recv: 876 0 p/s (10 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 1:25 1% (2h05m left); send: 1116568 9.53 Kp/s (13.1 Kp/s avg); recv: 877 0 p/s (10 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 1:26 1% (2h05m left); send: 1126667 10.1 Kp/s (13.1 Kp/s avg); recv: 877 0 p/s (10 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 1:27 1% (2h06m left); send: 1138010 11.3 Kp/s (13.1 Kp/s avg); recv: 877 0 p/s (10 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 1:28 1% (2h06m left); send: 1149311 11.3 Kp/s (13.1 Kp/s avg); recv: 877 0 p/s (9 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 1:29 1% (2h06m left); send: 1160495 11.2 Kp/s (13.0 Kp/s avg); recv: 877 0 p/s (9 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
