Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,[TCP:flags:FSRAUEC]-drop-|,1,[-10]
-10.0,"[TCP:options-timestamp:854088448]-tamper{TCP:options-sack:corrupt}(tamper{TCP:sport:corrupt},)-|",1,[-10]
-10.0,[TCP:sport:25890]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,"[TCP:dport:44892]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:seq:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:flags:FPEN]-duplicate(drop,tamper{TCP:options-nop:replace:})-|",1,[-10]
-10.0,"[TCP:flags:FA]-duplicate(tamper{TCP:sport:corrupt}(fragment{tcp:-1:False}(tamper{TCP:options-altchksum:replace:166},),),)-|",1,[-10]
-10.0,"[TCP:options-altchksum:105:4]-tamper{TCP:window:replace:40}(fragment{tcp:-1:True}(,fragment{tcp:-1:True}),)-|",1,[-10]
-10.0,"[TCP:options-md5header:bc09f40e2678e15d13a4cec07f356f46]-fragment{tcp:-1:True}(drop,)-|",1,[-10]
-10.0,"[TCP:flags:SA:0]-fragment{tcp:-1:False}(tamper{TCP:options-md5header:corrupt},)-|",1,[-10]
-10.0,"[TCP:dataofs:14]-tamper{TCP:dport:corrupt}(tamper{TCP:urgptr:replace:32418},)-|",1,[-10]
-10.0,"[TCP:dataofs:13]-duplicate(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-altchksumopt:]-duplicate(,tamper{TCP:dataofs:replace:8})-|[TCP:options-eol::0]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,[TCP:ack:2468022940:1]-duplicate-|,1,[-10]
-10.0,[TCP:options-altchksum:248]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-md5header:3fef0cad7d2f6e1ef5ded95115a8d825:1]-tamper{TCP:options-wscale:replace:236}(fragment{tcp:-1:True}(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-uto:150]-drop-|,1,[-10]
-10.0,[TCP:options-timestamp:1242976396]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-altchksum:36]-tamper{TCP:options-altchksumopt:replace:}(duplicate,)-|",1,[-10]
-10.0,"[TCP:window:20]-duplicate(fragment{tcp:-1:False}(tamper{TCP:dataofs:replace:12},),)-|",1,[-10]
-10.0,"[TCP:options-wscale:243]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:urgptr:5113]-tamper{TCP:reserved:replace:1}(tamper{TCP:options-wscale:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-uto:160]-fragment{tcp:-1:False}(,tamper{TCP:options-uto:corrupt})-|",1,[-10]
-10.0,"[TCP:dataofs:1]-fragment{tcp:-1:False}(tamper{TCP:reserved:replace:4},tamper{TCP:dataofs:corrupt})-|",1,[-10]
-10.0,"[TCP:options-md5header:6320fa73c790eb8a2fbb752e60837fb8]-duplicate(tamper{TCP:options-md5header:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-mss:5328:4]-tamper{TCP:dataofs:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-wscale:238]-tamper{TCP:options-eol:replace:}(fragment{tcp:38:True:19},)-|",1,[-10]
-10.0,"[TCP:sport:34528]-tamper{TCP:options-altchksum:replace:205}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:options-md5header:9806ccdccd97360ec07f83621aade335]-tamper{TCP:options-wscale:replace:29}-|,1,[-10]
-10.0,"[TCP:dport:19954]-fragment{tcp:-1:True}(tamper{TCP:ack:corrupt},duplicate)-|",1,[-10]
-10.0,[TCP:sport:51906:4]-drop-|,1,[-10]
-10.0,[TCP:dataofs:12]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:flags:R]-fragment{tcp:-1:True}(duplicate,drop)-|",1,[-10]
-10.0,[TCP:sport:645:2]-tamper{TCP:options-timestamp:corrupt}-|,1,[-10]
-10.0,"[TCP:options-md5header:41e71251ac8538ed822f0962f2e96e25:3]-tamper{TCP:chksum:replace:42102}(tamper{TCP:options-nop:corrupt}(tamper{TCP:dataofs:corrupt},),)-|",1,[-10]
-10.0,"[TCP:urgptr:31506]-duplicate(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-nop::3]-duplicate(,duplicate)-|[TCP:sport:8731]-drop-|",1,[-10]
-10.0,"[TCP:options-uto:131]-duplicate(,duplicate)-|[TCP:options-eol:]-tamper{TCP:options-wscale:replace:223}-|",1,[-10]
-10.0,"[TCP:options-md5header:a1550f936559041921bc9f37dde459d7]-tamper{TCP:options-nop:replace:}(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
-10.0,"[TCP:seq:3186930661]-tamper{TCP:options-sack:corrupt}(tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-wscale:corrupt},),)-|",1,[-10]
-10.0,[TCP:flags:SA]-duplicate-|,1,[-10]
-10.0,"[TCP:window:40]-duplicate(tamper{TCP:options-timestamp:replace:1778213723},)-|",1,[-10]
-10.0,"[TCP:dport:5709]-duplicate(tamper{TCP:options-nop:replace:},tamper{TCP:seq:corrupt})-|",1,[-10]
-10.0,"[TCP:window:10]-tamper{TCP:options-sack:replace:}(duplicate(,fragment{tcp:-1:True}),)-|",1,[-10]
-10.0,"[TCP:window:150]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-md5header:replace:19ac8ef999dad48cdfe430f98ba11cc6}(tamper{TCP:chksum:replace:60265},),)-|",1,[-10]
-10.0,[TCP:options-uto:85:2]-duplicate-|,1,[-10]
-10.0,[TCP:sport:23185]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,"[TCP:reserved:5]-tamper{TCP:reserved:corrupt}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:45]-tamper{TCP:load:replace:}(tamper{TCP:chksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:2576480089]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-mss:28485:1]-tamper{TCP:ack:replace:1482245588}(duplicate(duplicate,),)-|",1,[-10]
-10.0,"[TCP:options-uto:130]-duplicate(tamper{TCP:options-timestamp:replace:303689704},)-|[TCP:options-eol:]-duplicate-|",1,[-10]
-10.0,"[TCP:options-mss:44941]-tamper{TCP:options-uto:replace:157}(tamper{TCP:options-wscale:corrupt}(duplicate,),)-|",1,[-10]
-10.0,[TCP:sport:27832]-duplicate-|,1,[-10]
-10.0,"[TCP:flags:FRAUECN]-tamper{TCP:flags:replace:A}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:options-altchksum:99]-tamper{TCP:chksum:replace:13916}-|,1,[-10]
-10.0,[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-10]
-10.0,"[TCP:dport:51741:1]-tamper{TCP:chksum:replace:15097}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-sackok:]-tamper{TCP:load:replace:}(tamper{TCP:options-mss:corrupt},)-|[TCP:flags:FSRECN]-tamper{TCP:dataofs:replace:9}-|",1,[-10]
-10.0,"[TCP:window:110]-duplicate(,fragment{tcp:-1:False})-|",1,[-10]
-10.0,"[TCP:options-wscale:180:0]-fragment{ip:-1:False:32}(tamper{TCP:options-altchksumopt:replace:},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:109]-duplicate(tamper{TCP:seq:replace:2895517508},)-|",1,[-10]
-10.0,[TCP:dataofs:9]-duplicate-|,1,[-10]
-10.0,[TCP:flags::1]-duplicate-|,1,[-10]
-10.0,[TCP:options-wscale:124]-drop-|,1,[-10]
-10.0,[TCP:options-altchksum:188]-duplicate-|,1,[-10]
-10.0,"[TCP:dataofs:6]-tamper{TCP:seq:replace:1404705792}(duplicate,)-|",1,[-10]
-10.0,[TCP:sport:63663]-drop-|,1,[-10]
-10.0,[TCP:options-sackok::0]-tamper{TCP:chksum:corrupt}-|,1,[-10]
-10.0,[TCP:ack:1933729963]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,[TCP:options-md5header:a2e44ab4182f5418e3616e1a70b9a5b9]-drop-|,1,[-10]
-10.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-uto:replace:224}(duplicate(duplicate,),)-|[TCP:options-uto:155]-tamper{TCP:window:corrupt}-|",1,[-10]
-10.0,"[TCP:flags::1]-duplicate(tamper{TCP:chksum:corrupt},drop)-|",1,[-10]
-10.0,[TCP:options-wscale:70:4]-tamper{TCP:options-eol:replace:}-|,1,[-10]
-10.0,"[TCP:options-nop:]-tamper{TCP:seq:corrupt}(duplicate,)-|[TCP:reserved:4]-tamper{TCP:options-altchksumopt:replace:}-|",1,[-10]
-10.0,[TCP:chksum:27572]-tamper{TCP:ack:corrupt}-|,1,[-10]
