Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,[TCP:window:170]-drop-|,1,[-10]
-10.0,[TCP:options-uto:246:4]-duplicate-|,1,[-10]
-10.0,"[TCP:reserved:6]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-mss:56727]-duplicate(duplicate,tamper{TCP:load:corrupt})-|",1,[-10]
-10.0,[TCP:options-altchksum:245]-tamper{TCP:options-sackok:replace:}-|,1,[-10]
-10.0,"[TCP:options-md5header:c5cb65fcf08eb9a5e0982230090a1316:4]-tamper{TCP:ack:corrupt}(duplicate,)-|[TCP:reserved:0:1]-tamper{TCP:options-altchksumopt:replace:}-|",1,[-10]
-10.0,"[TCP:chksum:6903]-tamper{TCP:ack:replace:2708351453}(fragment{ip:18:True},)-|",1,[-10]
-10.0,[TCP:dataofs:5]-tamper{TCP:options-altchksum:corrupt}-|,1,[-10]
-10.0,[TCP:options-md5header:0225f8eea26392c914d8756628cc93ac]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:ack:631614069]-duplicate-|,1,[-10]
-10.0,[TCP:ack:3346368432]-duplicate-|,1,[-10]
-10.0,"[TCP:urgptr:5410]-tamper{TCP:options-mss:replace:65385}(duplicate,)-|",1,[-10]
-10.0,[TCP:flags:AEC]-duplicate-|,1,[-10]
-10.0,"[TCP:reserved:7:2]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1321117851]-tamper{TCP:options-mss:corrupt}(fragment{tcp:-1:False}(tamper{TCP:options-eol:corrupt},),)-|",1,[-10]
-10.0,"[TCP:chksum:12485]-duplicate(,tamper{TCP:options-nop:corrupt})-|",1,[-10]
-10.0,"[TCP:chksum:22294]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:sport:corrupt},)-|[TCP:reserved:0]-tamper{TCP:options-uto:replace:140}-|",1,[-10]
-10.0,"[TCP:window:30:1]-tamper{TCP:options-eol:replace:}(tamper{TCP:load:replace:nk093p6kuz},)-|",1,[-10]
-10.0,"[TCP:dataofs:3]-tamper{TCP:chksum:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:sport:7331]-duplicate-|,1,[-10]
-10.0,"[TCP:seq:237213976]-tamper{TCP:window:replace:150}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-md5header:b993472bb3bf6772118d1e59ff72438a]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:chksum:corrupt}(drop,),)-|",1,[-10]
-10.0,[TCP:chksum:37793:2]-tamper{TCP:reserved:replace:1}-|,1,[-10]
-10.0,"[TCP:options-wscale:7]-tamper{TCP:reserved:replace:4}(drop,)-|",1,[-10]
-10.0,"[TCP:seq:1733386632]-duplicate(tamper{TCP:options-nop:replace:},)-|",1,[-10]
-10.0,[TCP:reserved:4]-tamper{TCP:seq:corrupt}-|,1,[-10]
-10.0,"[TCP:options-altchksumopt::1]-duplicate(fragment{tcp:-1:False},)-|[TCP:urgptr:51835]-tamper{TCP:options-altchksumopt:corrupt}-|",1,[-10]
-10.0,[TCP:dataofs:5]-drop-|,1,[-10]
-10.0,"[TCP:options-uto:61:3]-tamper{TCP:dport:replace:42493}(duplicate(tamper{TCP:sport:replace:32434},),)-|",1,[-10]
-10.0,"[TCP:options-timestamp:3453466911:4]-tamper{TCP:sport:replace:52398}(tamper{TCP:urgptr:corrupt}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:dataofs:14]-duplicate(fragment{tcp:-1:False:5},)-|",1,[-10]
-10.0,"[TCP:options-md5header:e898a2f09b35676fe26166bc09eab8e6:3]-tamper{TCP:ack:replace:2831717253}(duplicate,)-|",1,[-10]
-10.0,"[TCP:chksum:26226]-fragment{tcp:2:True:3}(,duplicate)-|",1,[-10]
-10.0,"[TCP:urgptr:31014]-fragment{tcp:-1:False}(,tamper{TCP:dataofs:replace:1})-|",1,[-10]
-10.0,"[TCP:seq:1398165704]-tamper{TCP:options-md5header:replace:7e080ddd6a0499a6def5598fa0148c41}(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
-10.0,"[TCP:dataofs:5]-duplicate(tamper{TCP:reserved:replace:3},tamper{TCP:options-wscale:corrupt})-|",1,[-10]
-10.0,[TCP:dport:22514:3]-duplicate-|,1,[-10]
-10.0,"[TCP:window:70]-tamper{TCP:options-eol:replace:}(duplicate,)-|",1,[-10]
-10.0,[TCP:reserved:6]-duplicate-|,1,[-10]
-10.0,"[TCP:window:90]-fragment{tcp:-1:False}(tamper{TCP:reserved:replace:7},tamper{TCP:options-mss:corrupt})-|",1,[-10]
-10.0,[TCP:options-altchksum:143]-tamper{TCP:flags:replace:FU}-|,1,[-10]
-10.0,"[TCP:urgptr:52668]-fragment{tcp:-1:False}(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-uto:38]-fragment{tcp:38:False}(,tamper{TCP:options-sack:replace:})-|",1,[-10]
-10.0,[TCP:reserved:7:0]-drop-|,1,[-10]
-10.0,[TCP:urgptr:6456]-drop-|,1,[-10]
-10.0,[TCP:ack:1262986180]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:dport:61121:4]-duplicate-|,1,[-10]
-10.0,"[TCP:options-wscale:103]-tamper{TCP:dport:corrupt}(duplicate(,tamper{TCP:options-eol:replace:}),)-|",1,[-10]
-10.0,"[TCP:window:160:4]-duplicate(tamper{TCP:options-mss:replace:48159},fragment{tcp:-1:True})-|",1,[-10]
-10.0,[TCP:flags:R]-tamper{TCP:options-sack:corrupt}-|,1,[-10]
-10.0,[TCP:options-md5header:a06e326ec2f0c556256079861d520ce8]-tamper{TCP:options-mss:replace:14466}-|,1,[-10]
-10.0,"[TCP:dataofs:7]-tamper{TCP:chksum:corrupt}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:dataofs:10]-fragment{tcp:-1:True}(,drop)-|",1,[-10]
-10.0,[TCP:sport:35544:2]-tamper{TCP:seq:replace:4150842921}-|,1,[-10]
-10.0,"[TCP:flags::0]-tamper{TCP:options-nop:replace:}(duplicate(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,"[TCP:urgptr:57120:0]-fragment{tcp:-1:True}(,tamper{TCP:options-uto:corrupt})-|",1,[-10]
-10.0,"[TCP:window:90]-duplicate(duplicate,drop)-|",1,[-10]
-10.0,[TCP:seq:3383943205]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:window:80]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,[TCP:options-wscale:140]-drop-|,1,[-10]
-10.0,"[TCP:options-mss:6870]-duplicate(,duplicate)-|[TCP:options-eol:]-duplicate-|",1,[-10]
-10.0,"[TCP:dport:1934]-tamper{TCP:options-sack:corrupt}(tamper{TCP:dport:replace:1837},)-|",1,[-10]
-10.0,[TCP:options-altchksum:99]-tamper{TCP:options-timestamp:corrupt}-|,1,[-10]
-10.0,"[TCP:chksum:13205]-tamper{TCP:ack:replace:1002213202}(fragment{tcp:-1:True}(tamper{TCP:options-altchksum:replace:19},tamper{TCP:options-uto:replace:87}),)-|",1,[-10]
-10.0,[TCP:flags:RA]-fragment{tcp:40:True}-|,1,[-10]
-10.0,"[TCP:window:160:0]-fragment{tcp:13:False:49}(tamper{TCP:options-altchksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:load:]-tamper{TCP:sport:replace:49904}(duplicate,)-|",1,[-10]
-10.0,[TCP:urgptr:37135]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-10]
-10.0,"[TCP:options-timestamp:1156480508]-duplicate(,fragment{ip:-1:True:5})-|",1,[-10]
-10.0,[TCP:options-wscale:253]-duplicate-|,1,[-10]
-10.0,[TCP:sport:64115]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-mss:55629]-tamper{TCP:options-nop:replace:}-|,1,[-10]
-10.0,[TCP:dport:9216]-tamper{TCP:sport:replace:60143}-|,1,[-10]
-10.0,"[TCP:sport:19239:2]-duplicate(tamper{TCP:reserved:replace:2},tamper{TCP:options-nop:corrupt})-|",1,[-10]
-10.0,"[TCP:options-nop:]-tamper{TCP:options-altchksum:corrupt}(fragment{tcp:-1:False},)-|[TCP:flags:]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,"[TCP:seq:1262080492:1]-duplicate(duplicate,)-|",1,[-10]
-10.0,[TCP:options-sackok::1]-duplicate-|[TCP:sport:43152]-tamper{TCP:sport:replace:21737}-|,1,[-10]
-10.0,"[TCP:urgptr:5410]-tamper{TCP:options-mss:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-mss:63820]-fragment{tcp:-1:False}-|,1,[-10]
