Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:options-mss:57394:0]-tamper{TCP:load:corrupt}(tamper{TCP:dport:corrupt},)-|",1,[-10]
-10.0,"[TCP:seq:1284149054]-tamper{TCP:options-md5header:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:dataofs:2]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,[TCP:window:170]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,"[TCP:window:160]-tamper{TCP:options-md5header:corrupt}(fragment{tcp:14:True:7},)-|",1,[-10]
-10.0,[TCP:load::1]-duplicate-|,1,[-10]
-10.0,"[TCP:dport:46220]-fragment{tcp:40:True}(,fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:options-uto:181]-fragment{tcp:-1:True}(duplicate,)-|",1,[-10]
-10.0,"[TCP:dport:34372]-tamper{TCP:options-uto:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-altchksum:129]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-wscale:104:4]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:chksum:14174]-tamper{TCP:flags:corrupt}(tamper{TCP:reserved:corrupt}(tamper{TCP:options-md5header:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1313937587:1]-duplicate(,tamper{TCP:dataofs:replace:11})-|",1,[-10]
-10.0,"[TCP:dataofs:8:4]-duplicate(tamper{TCP:dport:replace:4994},)-|[TCP:options-altchksumopt:]-tamper{TCP:options-sackok:replace:}-|",1,[-10]
-10.0,"[TCP:window:90]-duplicate(,fragment{tcp:-1:True})-|",1,[-10]
-10.0,[TCP:window:120]-duplicate-|,1,[-10]
-10.0,"[TCP:options-wscale:237]-tamper{TCP:reserved:corrupt}(tamper{TCP:dport:corrupt},)-|",1,[-10]
-10.0,"[TCP:reserved:7]-fragment{tcp:-1:True}(duplicate(,duplicate),)-|",1,[-10]
