Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:sport:10101:0]-tamper{TCP:flags:replace:FSEC}(duplicate,)-|[TCP:options-nop:]-duplicate-|",1,[-10]
-10.0,"[TCP:flags:P]-tamper{TCP:dport:replace:33423}(duplicate,)-|",1,[-10]
-10.0,[TCP:chksum:63165]-tamper{TCP:seq:corrupt}-|,1,[-10]
-10.0,"[TCP:window:140]-tamper{TCP:sport:replace:17602}(fragment{tcp:-1:True}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:dport:45255:0]-fragment{tcp:-1:True}(fragment{tcp:-1:True},tamper{TCP:window:corrupt})-|",1,[-10]
-10.0,"[TCP:window:130]-fragment{tcp:57:False}(,duplicate)-|",1,[-10]
-10.0,[TCP:load:szi0qyn12r]-tamper{TCP:options-timestamp:corrupt}-|,1,[-10]
-10.0,"[TCP:options-md5header:b6f2b641157e5e1cfea9b67a6344f9af]-duplicate(,tamper{TCP:dport:replace:47096})-|",1,[-10]
-10.0,"[TCP:options-altchksum:181]-tamper{TCP:window:corrupt}(tamper{TCP:options-timestamp:replace:3219844488}(tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-wscale:corrupt},),),)-|",1,[-10]
-10.0,[TCP:options-altchksum:111]-tamper{TCP:flags:corrupt}-|,1,[-10]
-10.0,"[TCP:options-timestamp:2767131482]-fragment{tcp:22:True:26}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1370607774]-tamper{TCP:options-sack:corrupt}(tamper{TCP:options-uto:corrupt}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:sport:23628]-fragment{tcp:-1:False:34}(drop,)-|",1,[-10]
-10.0,[TCP:options-timestamp:231364989]-tamper{TCP:chksum:replace:55041}-|,1,[-10]
-10.0,"[TCP:window:90]-tamper{TCP:options-eol:replace:}(tamper{TCP:options-md5header:corrupt},)-|",1,[-10]
-10.0,"[TCP:flags::3]-fragment{tcp:-1:False}(fragment{tcp:-1:True}(,fragment{tcp:-1:False}),)-|",1,[-10]
-10.0,[TCP:reserved:3]-tamper{TCP:urgptr:corrupt}-|,1,[-10]
-10.0,"[TCP:options-mss:43419]-tamper{TCP:options-nop:corrupt}(tamper{TCP:options-altchksumopt:replace:}(drop,),)-|",1,[-10]
-10.0,[TCP:window:70:1]-tamper{TCP:urgptr:corrupt}-|,1,[-10]
-10.0,"[TCP:options-altchksum:192]-fragment{tcp:-1:True}(fragment{tcp:-1:True},fragment{tcp:-1:False})-|",1,[-10]
-10.0,"[TCP:options-timestamp:184166518:0]-fragment{tcp:-1:False}(,tamper{TCP:options-wscale:replace:199})-|",1,[-10]
-10.0,"[TCP:sport:22626]-fragment{ip:-1:False}(duplicate,)-|",1,[-10]
-10.0,[TCP:chksum:46431]-drop-|,1,[-10]
-10.0,[TCP:options-mss:45518]-drop-|,1,[-10]
-10.0,"[TCP:seq:2637298378]-tamper{TCP:urgptr:replace:4971}(tamper{TCP:options-uto:replace:19}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__:3]-tamper{TCP:dport:replace:37477}(tamper{TCP:flags:replace:P}(duplicate,),)-|",1,[-10]
-10.0,[TCP:reserved:3]-duplicate-|,1,[-10]
-10.0,"[TCP:sport:14772]-tamper{TCP:options-altchksumopt:corrupt}(fragment{tcp:-1:True}(,duplicate),)-|",1,[-10]
-10.0,"[TCP:options-wscale:114]-tamper{TCP:chksum:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1596378275]-tamper{TCP:ack:replace:483727888}(tamper{TCP:options-sack:replace:}(tamper{TCP:reserved:replace:3},),)-|",1,[-10]
-10.0,[TCP:ack:793226761]-drop-|,1,[-10]
-10.0,[TCP:dport:20235]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:ack:3130094275:4]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,"[TCP:dport:64353]-tamper{TCP:seq:replace:316796826}(duplicate(duplicate,),)-|",1,[-10]
-10.0,[TCP:load:]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:sport:23301]-tamper{TCP:options-mss:replace:15629}-|,1,[-10]
-10.0,[TCP:options-wscale:142]-tamper{TCP:options-eol:replace:}-|,1,[-10]
-10.0,"[TCP:options-timestamp:3048215168]-duplicate(duplicate,tamper{TCP:options-eol:replace:})-|",1,[-10]
-10.0,"[TCP:flags:FAE]-duplicate(duplicate(duplicate,),)-|",1,[-10]
-10.0,[TCP:load:__HTTP_REQUEST__]-tamper{TCP:options-wscale:corrupt}-|,1,[-10]
-10.0,"[TCP:options-timestamp:2765553385]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:load::1]-fragment{ip:-1:True:42}(,fragment{tcp:-1:False})-|",1,[-10]
-10.0,"[TCP:options-md5header:5569e8a2bc393d6173f5f5f8630356b4:2]-tamper{TCP:urgptr:replace:43282}(tamper{TCP:seq:corrupt}(tamper{TCP:load:replace:},),)-|",1,[-10]
-10.0,[TCP:options-altchksum:182]-duplicate-|,1,[-10]
-10.0,"[TCP:sport:61909]-duplicate(fragment{tcp:-1:False:24},)-|",1,[-10]
-10.0,"[TCP:options-wscale:234]-tamper{TCP:options-timestamp:replace:4078170316}(duplicate(tamper{TCP:options-eol:replace:},),)-|",1,[-10]
-10.0,"[TCP:flags:FRPEC]-duplicate(fragment{tcp:-1:True},duplicate)-|",1,[-10]
-10.0,[TCP:options-uto:57]-tamper{TCP:options-timestamp:replace:2573477938}-|,1,[-10]
-10.0,[TCP:options-mss:2376]-tamper{TCP:dport:corrupt}-|,1,[-10]
-10.0,"[TCP:urgptr:13935]-tamper{TCP:options-uto:corrupt}(duplicate(duplicate(duplicate,),),)-|",1,[-10]
-10.0,"[TCP:window:160]-tamper{TCP:options-wscale:replace:12}(duplicate(duplicate,),)-|",1,[-10]
-10.0,"[TCP:options-mss:16841:4]-duplicate(,tamper{TCP:urgptr:corrupt})-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-md5header:9ceac9ad64be23c5af77ec431e04d09d]-fragment{tcp:-1:True}(duplicate(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,"[TCP:window:40]-tamper{TCP:dport:replace:62367}(fragment{tcp:26:False},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:3080687437]-tamper{TCP:options-sackok:corrupt}(duplicate(duplicate,),)-|",1,[-10]
-10.0,[TCP:urgptr:9037]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:sport:856]-duplicate-|,1,[-10]
-10.0,"[TCP:options-md5header:523dca3711df3720c11c4c9e51f88ec9]-duplicate(tamper{TCP:sport:replace:17480}(tamper{TCP:options-mss:replace:13688},),)-|",1,[-10]
-10.0,"[TCP:sport:41478]-tamper{TCP:sport:replace:27122}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:sport:5010]-tamper{TCP:options-altchksum:corrupt}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:options-wscale:28]-tamper{TCP:options-altchksum:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:flags:FPAUEN]-fragment{tcp:-1:True}(tamper{TCP:options-uto:corrupt},)-|",1,[-10]
-10.0,[TCP:options-wscale:236]-duplicate-|,1,[-10]
-10.0,[TCP:seq:1490009952]-duplicate-|,1,[-10]
-10.0,"[TCP:options-timestamp:2688350142]-tamper{TCP:urgptr:replace:4991}(duplicate,)-|",1,[-10]
-10.0,"[TCP:dataofs:5]-duplicate(tamper{TCP:options-uto:corrupt},)-|",1,[-10]
-10.0,"[TCP:sport:55396]-duplicate(drop,)-|",1,[-10]
-10.0,[TCP:options-md5header:936d640b0d164aec817366bf989176cc:3]-tamper{TCP:reserved:corrupt}-|,1,[-10]
-10.0,"[TCP:ack:431986937]-tamper{TCP:options-sackok:replace:}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-altchksum:207]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:load:corrupt},)-|",1,[-10]
-10.0,[TCP:options-wscale:174]-duplicate-|,1,[-10]
-10.0,[TCP:load:lta525oisa]-drop-|,1,[-10]
-10.0,[TCP:options-altchksum:162:4]-drop-|,1,[-10]
-10.0,[TCP:options-wscale:98]-tamper{TCP:dport:corrupt}-|,1,[-10]
-10.0,[TCP:ack:2473738325:2]-drop-|,1,[-10]
-10.0,"[TCP:seq:4125654802]-duplicate(,tamper{TCP:ack:replace:235748721})-|",1,[-10]
-10.0,[TCP:options-timestamp:433389860]-tamper{TCP:load:replace:__HTTP_REQUEST__}-|,1,[-10]
