Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:load:7l7vg1njqr:2]-fragment{tcp:-1:False}(drop,)-|",1,[-10]
-10.0,"[TCP:ack:2459041957]-tamper{TCP:reserved:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:dport:10634]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:window:180]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,[TCP:seq:1166686449]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,[TCP:seq:3287944470]-duplicate-|,1,[-10]
-10.0,"[TCP:options-eol:]-fragment{tcp:-1:True}(drop,fragment{tcp:-1:False})-|[TCP:seq:1433203611]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,[TCP:window:130]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,[TCP:window:170]-tamper{TCP:sport:replace:3987}-|,1,[-10]
-10.0,[TCP:options-md5header:8be58ea12cd6fb5dc3fd38b24ec7ec4f:0]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,"[TCP:options-nop::1]-tamper{TCP:chksum:corrupt}(fragment{tcp:-1:False:5}(tamper{TCP:options-mss:corrupt},),)-|[TCP:reserved:5]-duplicate-|",1,[-10]
-10.0,[TCP:window:70]-tamper{TCP:urgptr:corrupt}-|,1,[-10]
-10.0,[TCP:flags:A]-tamper{TCP:options-altchksum:corrupt}-|,1,[-10]
-10.0,[TCP:options-altchksum:164]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:urgptr:26421]-fragment{tcp:26:False:13}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-timestamp:2434520448]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,[TCP:options-altchksum:58]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,[TCP:load::1]-tamper{TCP:flags:corrupt}-|,1,[-10]
-10.0,[TCP:urgptr:49913]-tamper{TCP:options-altchksum:corrupt}-|,1,[-10]
-10.0,[TCP:ack:1095122168]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-timestamp:2398191672]-drop-|,1,[-10]
-10.0,[TCP:options-altchksum:58]-tamper{TCP:dataofs:corrupt}-|,1,[-10]
-10.0,[TCP:load:appk171ywq]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-altchksum:77]-tamper{TCP:urgptr:corrupt}-|,1,[-10]
-10.0,[TCP:options-altchksum:191]-duplicate-|,1,[-10]
-10.0,[TCP:reserved:1]-duplicate-|,1,[-10]
