Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:options-sackok:]-fragment{tcp:12:True:26}(fragment{tcp:-1:True},)-|[TCP:urgptr:50987:2]-fragment{tcp:-1:True}-|",1,['-10']
-10.0,"[TCP:options-nop:]-tamper{TCP:reserved:corrupt}(fragment{tcp:-1:True},)-|[TCP:options-mss:55775:3]-tamper{TCP:options-nop:corrupt}-|",1,['-10']
-10.0,[TCP:seq:519058020]-drop-|,1,['-10']
-10.0,[TCP:dataofs:3]-duplicate-|,1,['-10']
-10.0,[TCP:options-altchksum:57:1]-tamper{TCP:sport:corrupt}-|,1,['-10']
-10.0,[TCP:load:c20aqfj490]-tamper{TCP:options-uto:replace:56}-|,1,['-10']
-10.0,[TCP:flags:RA]-tamper{TCP:options-timestamp:replace:3445965804}-|,1,['-10']
-10.0,"[TCP:options-nop:]-duplicate(duplicate,)-|[TCP:sport:51379]-tamper{TCP:options-wscale:corrupt}-|",1,['-10']
-10.0,[TCP:options-timestamp:207728460]-fragment{tcp:-1:False}-|,1,['-10']
-10.0,[TCP:chksum:16758]-drop-|,1,['-10']
-10.0,[TCP:dport:2377]-duplicate-|,1,['-10']
-10.0,[TCP:options-md5header:012f63261d216fe1ca57d9fe9c63c2e8]-fragment{tcp:-1:True}-|,1,['-10']
-10.0,[TCP:options-md5header:9570ea4fdfe306d317ffe957f953a98b]-fragment{tcp:-1:True}-|,1,['-10']
-10.0,[TCP:urgptr:29300]-tamper{TCP:options-altchksumopt:corrupt}-|,1,['-10']
-10.0,"[TCP:options-eol:]-fragment{tcp:-1:True}(,fragment{tcp:-1:True})-|[TCP:dataofs:13:3]-fragment{tcp:-1:False}-|",1,['-10']
-10.0,[TCP:seq:3940519676:4]-tamper{TCP:options-uto:corrupt}-|,1,['-10']
-10.0,[TCP:options-md5header:41147d26c99aab85f1a84a9156cdcc0c]-tamper{TCP:options-uto:replace:25}-|,1,['-10']
-10.0,[TCP:dataofs:8]-tamper{TCP:options-altchksum:corrupt}-|,1,['-10']
-10.0,"[TCP:dataofs:8]-tamper{TCP:reserved:corrupt}(fragment{ip:-1:True:5},)-|",1,['-10']
-10.0,"[TCP:options-sackok::0]-tamper{TCP:options-sack:corrupt}(fragment{tcp:-1:True}(,drop),)-|[TCP:ack:3455600399:3]-duplicate-|",1,['-10']
-10.0,"[TCP:options-nop:]-duplicate(,tamper{TCP:options-sackok:replace:})-|[TCP:seq:836830274:2]-tamper{TCP:load:replace:__DNS_REQUEST__}-|",1,['-10']
-10.0,[TCP:urgptr:14952]-duplicate-|,1,['-10']
-10.0,[TCP:reserved:5]-tamper{TCP:sport:corrupt}-|,1,['-10']
-10.0,[TCP:dataofs:8]-tamper{TCP:flags:corrupt}-|,1,['-10']
-10.0,"[TCP:options-sackok::0]-tamper{TCP:options-altchksumopt:corrupt}(duplicate(tamper{TCP:options-sackok:corrupt},),)-|[TCP:ack:4212815078]-duplicate-|",1,['-10']
-10.0,[TCP:options-md5header:6290402b3e560079bfbe3166c35ebc1c]-tamper{TCP:window:corrupt}-|,1,['-10']
-10.0,[TCP:options-altchksum:151]-tamper{TCP:flags:replace:FA}-|,1,['-10']
-10.0,[TCP:ack:3970829288]-tamper{TCP:options-uto:corrupt}-|,1,['-10']
-10.0,[TCP:chksum:16173]-duplicate-|,1,['-10']
-10.0,[TCP:seq:2604358329:1]-tamper{TCP:ack:corrupt}-|,1,['-10']
-10.0,[TCP:options-md5header:b60acbe4a969d6a943c666b59a025d4a]-fragment{tcp:-1:True}-|,1,['-10']
-10.0,"[TCP:options-nop:]-tamper{TCP:options-sack:replace:}(fragment{tcp:-1:False},)-|[TCP:options-nop::0]-duplicate-|",1,['-10']
-10.0,[TCP:flags:PAU]-fragment{tcp:-1:False}-|,1,['-10']
-10.0,[TCP:urgptr:23057]-tamper{TCP:options-sack:replace:}-|,1,['-10']
-10.0,[TCP:options-mss:56228]-drop-|,1,['-10']
-10.0,[TCP:options-wscale:172:3]-tamper{TCP:dport:replace:51658}-|,1,['-10']
-10.0,[TCP:options-wscale:56:4]-tamper{TCP:options-mss:corrupt}-|,1,['-10']
-10.0,[TCP:options-md5header:54d3a0d368db39f0a3427345fbc6a443]-duplicate-|,1,['-10']
